key linkValue linkUp
2161 14889 21969
2282 14879 21986
3096 14869 21919
3250 14858 22003
3371 14847 22037
3492 14836 22054
4064 14825 22020
4185 14814 22088
4460 14803 22071
4581 14792 22122
5032 14781 22105
5153 14770 22156
5274 14759 22173
5395 14748 22190
5670 14737 22139
5791 14726 22224
6000 14715 22207
6088 14704 22241
6121 14693 22258
6242 14682 22292
6363 14671 22309
6484 14660 22326
407 15330 0
528 15321 22360
649 15312 22372
803 15303 0
924 15294 22404
1073 15284 22388
1194 15274 22432
1590 15264 22416
2041 15254 22449
2162 15244 22483
2283 15234 22500
3097 15224 22466
3130 15214 22517
3251 15203 22551
3372 15192 22568
3493 15181 22585
4065 15170 22534
4186 15159 22619
4340 15148 22602
4461 15137 22653
4582 15126 22670
5033 15115 22636
5154 15104 22704
5275 15093 22721
5396 15082 22738
5550 15071 22687
5671 15060 22772
5792 15049 22789
6001 15038 22755
6089 15027 22806
6122 15016 22823
6243 15005 22857
6364 14994 22874
6485 14983 22891
408 15740 0
529 15731 22925
804 15722 0
925 15713 22953
1074 15703 22937
1195 15693 22981
1470 15683 22965
1591 15673 23015
2042 15663 22998
2163 15653 23049
2284 15643 23066
2680 15633 23032
3010 15623 23083
3098 15613 23100
3131 15603 23117
3252 15592 23151
3373 15581 23168
3494 15570 23185
3890 15559 23134
4066 15548 23219
4187 15537 23236
4220 15526 23202
4341 15515 23270
4462 15504 23287
4583 15493 23304
5034 15482 23253
5155 15471 23338
5276 15460 23355
5397 15449 23372
5430 15438 23321
5551 15427 23406
5672 15416 23423
5793 15405 23440
6002 15394 23389
6123 15383 23474
6244 15372 23491
6365 15361 23508
6486 15350 23525
6640 15339 23457
409 16216 0
805 16207 0
926 16198 23588
1075 16188 23576
1196 16178 23616
1350 16168 23600
1471 16158 23650
1592 16148 23667
2043 16138 23633
2164 16128 23701
2285 16118 23718
2560 16108 23684
2681 16098 23752
3011 16088 23735
3099 16078 23769
3132 16068 23786
3253 16057 23820
3374 16046 23837
3495 16035 23854
3770 16024 23803
3891 16013 23888
4067 16002 23905
4100 15991 23871
4188 15980 23922
4221 15969 23939
4342 15958 23973
4463 15947 23990
4584 15936 24007
4980 15925 23956
5035 15914 24041
5156 15903 24058
5277 15892 24075
5310 15881 24024
5398 15870 24092
5431 15859 24109
5552 15848 24143
5673 15837 24160
5794 15826 24177
6003 15815 24126
6124 15804 24211
6245 15793 24228
6366 15782 24245
6487 15771 24262
6520 15760 24194
